layer_name,scenario_year,data_year
np_bbmsy,2018,2018
np_bbmsy,2019,2019
np_bbmsy,2020,2020
np_ffmsy,2010,2010
np_ffmsy,2011,2011
np_ffmsy,2012,2012
np_ffmsy,2013,2013
np_ffmsy,2014,2014
np_ffmsy,2015,2015
np_ffmsy,2016,2016
np_ffmsy,2017,2017
np_ffmsy,2018,2018
np_ffmsy,2019,2019
np_ffmsy,2020,2020
po_atmos_pcb153,2010,2010
po_atmos_pcb153,2011,2011
po_atmos_pcb153,2012,2012
po_atmos_pcb153,2013,2013
po_atmos_pcb153,2014,2014
po_atmos_pcb153,2015,2015
po_atmos_pcb153,2016,2016
po_atmos_pcb153,2017,2017
po_atmos_pcb153,2018,2018
po_atmos_pcb153,2019,2018
po_atmos_pcb153,2020,2018
po_atmos_pcdd,2010,2021
po_atmos_pcdd,2011,2021
po_atmos_pcdd,2012,2021
po_atmos_pcdd,2013,2021
po_atmos_pcdd,2014,2021
po_atmos_pcdd,2015,2021
po_atmos_pcdd,2016,2021
po_atmos_pcdd,2017,2021
po_atmos_pcdd,2018,2021
po_atmos_pcdd,2019,2021
po_atmos_pcdd,2020,2021
po_inverse_secchi,2010,2010
po_inverse_secchi,2011,2011
po_inverse_secchi,2012,2012
po_inverse_secchi,2013,2013
po_inverse_secchi,2014,2014
po_inverse_secchi,2015,2015
po_inverse_secchi,2016,2016
po_inverse_secchi,2017,2017
po_inverse_secchi,2018,2018
po_inverse_secchi,2019,2019
po_inverse_secchi,2020,2020
po_nload,2010,2010
po_nload,2011,2011
po_nload,2012,2012
po_nload,2013,2013
po_nload,2014,2014
po_nload,2015,2015
po_nload,2016,2016
po_nload,2017,2017
po_nload,2018,2017
po_nload,2019,2017
po_nload,2020,2017
po_pload,2010,2010
po_pload,2011,2011
po_pload,2012,2012
po_pload,2013,2013
po_pload,2014,2014
po_pload,2015,2015
po_pload,2016,2016
po_pload,2017,2017
po_pload,2018,2017
po_pload,2019,2017
po_pload,2020,2017
