"","region_id","dimension","goal","score"
"282","BHI-006","status","AO",63.3
"283","BHI-007","status","AO",NA
"284","BHI-008","status","AO",NA
"285","BHI-009","status","AO",63.3
"286","BHI-010","status","AO",NA
"287","BHI-011","status","AO",NA
"288","BHI-012","status","AO",41.7
"289","BHI-013","status","AO",NA
"290","BHI-014","status","AO",83.3
"291","BHI-015","status","AO",NA
"292","BHI-016","status","AO",NA
"293","BHI-017","status","AO",NA
"294","BHI-018","status","AO",NA
"295","BHI-019","status","AO",NA
"296","BHI-020","status","AO",NA
"297","BHI-021","status","AO",NA
"298","BHI-022","status","AO",NA
"299","BHI-023","status","AO",100
"300","BHI-024","status","AO",83.3
"301","BHI-025","status","AO",NA
"302","BHI-026","status","AO",73.3
"303","BHI-027","status","AO",100
"304","BHI-028","status","AO",63.3
"305","BHI-029","status","AO",83.3
"306","BHI-030","status","AO",NA
"307","BHI-031","status","AO",NA
"308","BHI-032","status","AO",41.7
"309","BHI-033","status","AO",NA
"310","BHI-034","status","AO",NA
"311","BHI-035","status","AO",63.3
"312","BHI-036","status","AO",NA
"313","BHI-037","status","AO",80
"314","BHI-038","status","AO",83.3
"315","BHI-039","status","AO",51.7
"316","BHI-040","status","AO",83.3
"317","BHI-041","status","AO",100
"318","BHI-042","status","AO",100
"319","BHI-043","status","AO",76.7
"320","BHI-301","status","AO",81.1
"321","BHI-302","status","AO",48.4
"322","BHI-303","status","AO",NA
"323","BHI-304","status","AO",NA
"324","BHI-305","status","AO",NA
"325","BHI-306","status","AO",100
"326","BHI-307","status","AO",87.9
"327","BHI-308","status","AO",63.3
"328","BHI-309","status","AO",80.3
"329","BHI-501","status","AO",48.3
"330","BHI-502","status","AO",50
"331","BHI-503","status","AO",63.3
"332","BHI-504","status","AO",NA
"333","BHI-505","status","AO",63.3
"334","BHI-506","status","AO",41.7
"335","BHI-507","status","AO",83.3
"336","BHI-508","status","AO",NA
"337","BHI-509","status","AO",87.1
"338","BHI-510","status","AO",73.3
"339","BHI-511","status","AO",79.1
"340","BHI-512","status","AO",83.3
