"region_id","dimension","goal","score","year"
"BHI-036","trend","AO",NA,2018
"BHI-037","trend","AO",-0.02,2018
"BHI-038","trend","AO",0.11,2018
"BHI-039","trend","AO",0,2018
"BHI-040","trend","AO",0.11,2018
"BHI-041","trend","AO",0.05,2018
"BHI-042","trend","AO",0.04,2018
"BHI-043","trend","AO",NA,2018
"BHI-301","trend","AO",0.025,2018
"BHI-302","trend","AO",-0.035,2018
"BHI-303","trend","AO",NA,2018
"BHI-304","trend","AO",NA,2018
"BHI-305","trend","AO",NA,2018
"BHI-306","trend","AO",NA,2018
"BHI-307","trend","AO",-0.227,2018
"BHI-308","trend","AO",-0.05,2018
"BHI-309","trend","AO",0.079,2018
"BHI-501","trend","AO",-0.04,2018
"BHI-502","trend","AO",-0.05,2018
"BHI-503","trend","AO",0.07,2018
"BHI-504","trend","AO",NA,2018
"BHI-505","trend","AO",NA,2018
"BHI-506","trend","AO",-0.01,2018
"BHI-507","trend","AO",0.12,2018
"BHI-508","trend","AO",NA,2018
"BHI-509","trend","AO",-0.23,2018
"BHI-510","trend","AO",0.05,2018
"BHI-511","trend","AO",-0.123,2018
"BHI-512","trend","AO",-0.05,2018
"BHI-513","trend","AO",0.03,2018
"BHI-514","trend","AO",0.15,2018
"BHI-515","trend","AO",0.041,2018
"BHI-516","trend","AO",0.067,2018
"BHI-517","trend","AO",0.045,2018
"BHI-518","trend","AO",NA,2018
"BHI-000","future","BD",74.9,2018
"BHI-001","future","BD",100,2018
"BHI-002","future","BD",41.4,2018
"BHI-003","future","BD",36.1,2018
"BHI-005","future","BD",94.9,2018
"BHI-006","future","BD",37.9,2018
"BHI-007","future","BD",89.6,2018
"BHI-008","future","BD",93.9,2018
"BHI-009","future","BD",87.5,2018
"BHI-010","future","BD",89.1,2018
"BHI-011","future","BD",81.6,2018
"BHI-012","future","BD",31.5,2018
"BHI-013","future","BD",71.8,2018
"BHI-014","future","BD",27.5,2018
"BHI-015","future","BD",24.7,2018
"BHI-016","future","BD",44.9,2018
"BHI-017","future","BD",44.2,2018
"BHI-018","future","BD",74.7,2018
"BHI-019","future","BD",28.4,2018
"BHI-020","future","BD",87.6,2018
"BHI-021","future","BD",74.6,2018
"BHI-022","future","BD",63.6,2018
"BHI-023","future","BD",93.2,2018
"BHI-024","future","BD",96.3,2018
"BHI-025","future","BD",90.6,2018
"BHI-026","future","BD",62.7,2018
"BHI-027","future","BD",82.7,2018
"BHI-028","future","BD",81.4,2018
"BHI-029","future","BD",84.1,2018
"BHI-030","future","BD",68.3,2018
"BHI-031","future","BD",77.1,2018
"BHI-032","future","BD",82.2,2018
"BHI-033","future","BD",55.7,2018
"BHI-034","future","BD",81.3,2018
"BHI-035","future","BD",85.3,2018
"BHI-036","future","BD",87.5,2018
"BHI-037","future","BD",100,2018
"BHI-038","future","BD",98.5,2018
"BHI-039","future","BD",81.3,2018
"BHI-040","future","BD",86.1,2018
"BHI-041","future","BD",91.2,2018
"BHI-042","future","BD",91.4,2018
"BHI-043","future","BD",65.7,2018
"BHI-301","future","BD",79.7,2018
"BHI-302","future","BD",38.5,2018
"BHI-303","future","BD",74.2,2018
"BHI-304","future","BD",58.1,2018
"BHI-305","future","BD",56.4,2018
"BHI-306","future","BD",93.2,2018
"BHI-307","future","BD",92.6,2018
"BHI-308","future","BD",81.4,2018
"BHI-309","future","BD",87.1,2018
"BHI-501","future","BD",58.2,2018
"BHI-502","future","BD",36.1,2018
"BHI-503","future","BD",66.8,2018
"BHI-504","future","BD",92.3,2018
"BHI-505","future","BD",88.7,2018
"BHI-506","future","BD",59.8,2018
"BHI-507","future","BD",34.9,2018
"BHI-508","future","BD",57.7,2018
"BHI-509","future","BD",85.8,2018
"BHI-510","future","BD",62.7,2018
"BHI-511","future","BD",82,2018
"BHI-512","future","BD",78,2018
"BHI-513","future","BD",71.5,2018
"BHI-514","future","BD",86.8,2018
"BHI-515","future","BD",99.3,2018
"BHI-516","future","BD",84.2,2018
"BHI-517","future","BD",91.3,2018
"BHI-518","future","BD",65.7,2018
"BHI-000","pressures","BD",31.5,2018
"BHI-001","pressures","BD",20.5,2018
"BHI-002","pressures","BD",20.5,2018
"BHI-003","pressures","BD",15.5,2018
"BHI-005","pressures","BD",6.9,2018
"BHI-006","pressures","BD",6.9,2018
"BHI-007","pressures","BD",9.3,2018
"BHI-008","pressures","BD",9.3,2018
"BHI-009","pressures","BD",14.1,2018
"BHI-010","pressures","BD",14.1,2018
"BHI-011","pressures","BD",41.6,2018
"BHI-012","pressures","BD",41.6,2018
"BHI-013","pressures","BD",41.6,2018
"BHI-014","pressures","BD",28.1,2018
"BHI-015","pressures","BD",28.1,2018
"BHI-016","pressures","BD",28.1,2018
"BHI-017","pressures","BD",28.1,2018
"BHI-018","pressures","BD",46.9,2018
"BHI-019","pressures","BD",46.9,2018
"BHI-020","pressures","BD",31.9,2018
"BHI-021","pressures","BD",31.9,2018
"BHI-022","pressures","BD",31.9,2018
"BHI-023","pressures","BD",31.9,2018
"BHI-024","pressures","BD",31.9,2018
"BHI-025","pressures","BD",31.9,2018
"BHI-026","pressures","BD",28.1,2018
"BHI-027","pressures","BD",35.8,2018
"BHI-028","pressures","BD",35.8,2018
"BHI-029","pressures","BD",29.7,2018
"BHI-030","pressures","BD",29.7,2018
"BHI-031","pressures","BD",29.7,2018
"BHI-032","pressures","BD",33.1,2018
"BHI-033","pressures","BD",33.1,2018
"BHI-034","pressures","BD",33.1,2018
"BHI-035","pressures","BD",18.9,2018
"BHI-036","pressures","BD",18.9,2018
"BHI-037","pressures","BD",20.8,2018
"BHI-038","pressures","BD",20.8,2018
"BHI-039","pressures","BD",66.8,2018
"BHI-040","pressures","BD",66.8,2018
"BHI-041","pressures","BD",58.3,2018
"BHI-042","pressures","BD",58.3,2018
"BHI-043","pressures","BD",47.3,2018
"BHI-301","pressures","BD",31.4,2018
"BHI-302","pressures","BD",23,2018
"BHI-303","pressures","BD",28.6,2018
"BHI-304","pressures","BD",31.5,2018
"BHI-305","pressures","BD",33.9,2018
"BHI-306","pressures","BD",31.9,2018
"BHI-307","pressures","BD",33,2018
"BHI-308","pressures","BD",32.6,2018
"BHI-309","pressures","BD",35.2,2018
"BHI-501","pressures","BD",20.5,2018
"BHI-502","pressures","BD",15.5,2018
"BHI-503","pressures","BD",6.9,2018
"BHI-504","pressures","BD",9.3,2018
"BHI-505","pressures","BD",14.1,2018
"BHI-506","pressures","BD",41.6,2018
"BHI-507","pressures","BD",28.1,2018
"BHI-508","pressures","BD",46.9,2018
"BHI-509","pressures","BD",31.9,2018
"BHI-510","pressures","BD",28.1,2018
"BHI-511","pressures","BD",35.8,2018
"BHI-512","pressures","BD",29.7,2018
"BHI-513","pressures","BD",33.1,2018
"BHI-514","pressures","BD",18.9,2018
"BHI-515","pressures","BD",20.8,2018
"BHI-516","pressures","BD",66.8,2018
"BHI-517","pressures","BD",58.3,2018
"BHI-518","pressures","BD",47.3,2018
"BHI-000","resilience","BD",80.1,2018
"BHI-001","resilience","BD",80.7,2018
"BHI-002","resilience","BD",78,2018
"BHI-003","resilience","BD",78,2018
"BHI-005","resilience","BD",80.7,2018
"BHI-006","resilience","BD",78,2018
"BHI-007","resilience","BD",78,2018
"BHI-008","resilience","BD",81.1,2018
"BHI-009","resilience","BD",78,2018
"BHI-010","resilience","BD",81.1,2018
"BHI-011","resilience","BD",80.7,2018
"BHI-012","resilience","BD",78,2018
"BHI-013","resilience","BD",81.1,2018
"BHI-014","resilience","BD",80.7,2018
"BHI-015","resilience","BD",78,2018
"BHI-016","resilience","BD",81.1,2018
"BHI-017","resilience","BD",76.9,2018
"BHI-018","resilience","BD",76.9,2018
"BHI-019","resilience","BD",NA,2018
"BHI-020","resilience","BD",80.7,2018
"BHI-021","resilience","BD",76.9,2018
"BHI-022","resilience","BD",NA,2018
"BHI-023","resilience","BD",81.6,2018
"BHI-024","resilience","BD",79.8,2018
"BHI-025","resilience","BD",78.5,2018
"BHI-026","resilience","BD",80.7,2018
"BHI-027","resilience","BD",79.8,2018
"BHI-028","resilience","BD",78.5,2018
"BHI-029","resilience","BD",80.7,2018
"BHI-030","resilience","BD",82,2018
"BHI-031","resilience","BD",78.5,2018
"BHI-032","resilience","BD",82,2018
"BHI-033","resilience","BD",NA,2018
"BHI-034","resilience","BD",78.5,2018
"BHI-035","resilience","BD",80.7,2018
"BHI-036","resilience","BD",82,2018
"BHI-037","resilience","BD",80.7,2018
"BHI-038","resilience","BD",82,2018
"BHI-039","resilience","BD",80.7,2018
"BHI-040","resilience","BD",82,2018
"BHI-041","resilience","BD",80.7,2018
"BHI-042","resilience","BD",82,2018
"BHI-043","resilience","BD",NA,2018
"BHI-301","resilience","BD",80.7,2018
"BHI-302","resilience","BD",78,2018
"BHI-303","resilience","BD",81.1,2018
"BHI-304","resilience","BD",76.9,2018
"BHI-305","resilience","BD",NA,2018
"BHI-306","resilience","BD",81.6,2018
"BHI-307","resilience","BD",79.8,2018
"BHI-308","resilience","BD",78.5,2018
"BHI-309","resilience","BD",82,2018
"BHI-501","resilience","BD",78.8,2018
"BHI-502","resilience","BD",78,2018
"BHI-503","resilience","BD",79.4,2018
"BHI-504","resilience","BD",80,2018
"BHI-505","resilience","BD",80.3,2018
"BHI-506","resilience","BD",79.9,2018
"BHI-507","resilience","BD",78.7,2018
"BHI-508","resilience","BD",76.9,2018
"BHI-509","resilience","BD",79.7,2018
"BHI-510","resilience","BD",80.7,2018
"BHI-511","resilience","BD",79.1,2018
"BHI-512","resilience","BD",80.4,2018
"BHI-513","resilience","BD",80.4,2018
"BHI-514","resilience","BD",81.6,2018
"BHI-515","resilience","BD",81.3,2018
"BHI-516","resilience","BD",81.5,2018
"BHI-517","resilience","BD",81.3,2018
"BHI-518","resilience","BD",NA,2018
"BHI-000","score","BD",70.8,2018
"BHI-001","score","BD",94,2018
"BHI-002","score","BD",38.2,2018
"BHI-003","score","BD",33.2,2018
"BHI-005","score","BD",86,2018
"BHI-006","score","BD",34.4,2018
"BHI-007","score","BD",81.6,2018
"BHI-008","score","BD",85.2,2018
"BHI-009","score","BD",80.2,2018
"BHI-010","score","BD",81.3,2018
"BHI-011","score","BD",77.4,2018
"BHI-012","score","BD",29.9,2018
"BHI-013","score","BD",67.9,2018
"BHI-014","score","BD",25.6,2018
"BHI-015","score","BD",23,2018
"BHI-016","score","BD",41.7,2018
"BHI-017","score","BD",41.3,2018
"BHI-018","score","BD",71.7,2018
"BHI-019","score","BD",31,2018
"BHI-020","score","BD",82,2018
"BHI-021","score","BD",70.1,2018
"BHI-022","score","BD",67.4,2018
"BHI-023","score","BD",87.1,2018
"BHI-024","score","BD",90.2,2018
"BHI-025","score","BD",85,2018
"BHI-026","score","BD",58.4,2018
"BHI-027","score","BD",77.9,2018
"BHI-028","score","BD",76.8,2018
"BHI-029","score","BD",78.4,2018
"BHI-030","score","BD",63.6,2018
"BHI-031","score","BD",72.1,2018
"BHI-032","score","BD",76.9,2018
"BHI-033","score","BD",59.2,2018
"BHI-034","score","BD",76.4,2018
"BHI-035","score","BD",78.5,2018
"BHI-036","score","BD",80.4,2018
"BHI-037","score","BD",92.3,2018
"BHI-038","score","BD",90.7,2018
"BHI-039","score","BD",80.1,2018
"BHI-040","score","BD",84.6,2018
"BHI-041","score","BD",88.6,2018
"BHI-042","score","BD",88.6,2018
"BHI-043","score","BD",71.8,2018
"BHI-301","score","BD",74.7,2018
"BHI-302","score","BD",35.6,2018
"BHI-303","score","BD",68.9,2018
"BHI-304","score","BD",54.7,2018
"BHI-305","score","BD",60,2018
"BHI-306","score","BD",87.1,2018
"BHI-307","score","BD",86.9,2018
"BHI-308","score","BD",76.4,2018
"BHI-309","score","BD",82.6,2018
"BHI-501","score","BD",54.2,2018
"BHI-502","score","BD",33.2,2018
"BHI-503","score","BD",60.6,2018
"BHI-504","score","BD",83.9,2018
"BHI-505","score","BD",81,2018
"BHI-506","score","BD",56.7,2018
"BHI-507","score","BD",32.6,2018
"BHI-508","score","BD",56.7,2018
"BHI-509","score","BD",81.3,2018
"BHI-510","score","BD",58.4,2018
"BHI-511","score","BD",77.3,2018
"BHI-512","score","BD",72.8,2018
"BHI-513","score","BD",69.8,2018
"BHI-514","score","BD",79.8,2018
"BHI-515","score","BD",91.5,2018
"BHI-516","score","BD",82.8,2018
"BHI-517","score","BD",88.6,2018
"BHI-518","score","BD",71.8,2018
"BHI-000","status","BD",66.6,2018
"BHI-001","status","BD",87.9,2018
"BHI-002","status","BD",35.1,2018
"BHI-003","status","BD",30.2,2018
"BHI-005","status","BD",77.2,2018
"BHI-006","status","BD",30.9,2018
"BHI-007","status","BD",73.6,2018
"BHI-008","status","BD",76.5,2018
"BHI-009","status","BD",72.9,2018
"BHI-010","status","BD",73.5,2018
"BHI-011","status","BD",73.2,2018
"BHI-012","status","BD",28.3,2018
"BHI-013","status","BD",64,2018
"BHI-014","status","BD",23.7,2018
"BHI-015","status","BD",21.4,2018
"BHI-016","status","BD",38.5,2018
"BHI-017","status","BD",38.4,2018
