region_id,year,pressure_score
BHI-034,2016,0.01
BHI-034,2017,0.06
BHI-033,1997,0.77
BHI-033,1998,0.65
BHI-033,1999,0.67
BHI-033,2000,0.77
BHI-033,2001,0.74
BHI-033,2002,0.83
BHI-033,2003,0.76
BHI-033,2004,0.94
BHI-033,2005,1
BHI-033,2006,1
BHI-033,2007,0.71
BHI-033,2008,0.45
BHI-033,2009,0.71
BHI-033,2010,0.77
BHI-033,2011,0.77
BHI-033,2012,0.38
BHI-033,2013,0.25
BHI-033,2014,0.08
BHI-033,2015,0
BHI-033,2016,0.01
BHI-033,2017,0.06
BHI-032,1997,0.77
BHI-032,1998,0.65
BHI-032,1999,0.67
BHI-032,2000,0.77
BHI-032,2001,0.74
BHI-032,2002,0.83
BHI-032,2003,0.76
BHI-032,2004,0.94
BHI-032,2005,1
BHI-032,2006,1
BHI-032,2007,0.71
BHI-032,2008,0.45
BHI-032,2009,0.71
BHI-032,2010,0.77
BHI-032,2011,0.77
BHI-032,2012,0.38
BHI-032,2013,0.25
BHI-032,2014,0.08
BHI-032,2015,0
BHI-032,2016,0.01
BHI-032,2017,0.06
BHI-031,1997,0.8
BHI-031,1998,0.87
BHI-031,1999,0.93
BHI-031,2000,0.84
BHI-031,2001,0.75
BHI-031,2002,0.69
BHI-031,2003,0.58
BHI-031,2004,0.51
BHI-031,2005,0.39
BHI-031,2006,0.44
BHI-031,2007,0.43
BHI-031,2008,0.42
BHI-031,2009,0.42
BHI-031,2010,0.53
BHI-031,2011,0.61
BHI-031,2012,0.54
BHI-031,2013,0.44
BHI-031,2014,0.4
BHI-031,2015,0.35
BHI-031,2016,0.23
BHI-031,2017,0.21
BHI-030,1997,0.8
BHI-030,1998,0.87
BHI-030,1999,0.93
BHI-030,2000,0.84
BHI-030,2001,0.75
BHI-030,2002,0.69
BHI-030,2003,0.58
BHI-030,2004,0.51
BHI-030,2005,0.39
BHI-030,2006,0.44
BHI-030,2007,0.43
