"region_id","year","surf_temp_pressure"
"BHI-020",1995,0.07
"BHI-021",1995,0.07
"BHI-022",1995,0.07
"BHI-023",1995,0.07
"BHI-024",1995,0.07
"BHI-025",1995,0.07
"BHI-026",1995,0.17
"BHI-027",1995,0.1
"BHI-028",1995,0.1
"BHI-029",1995,0.09
"BHI-030",1995,0.09
"BHI-031",1995,0.09
"BHI-032",1995,0.23
"BHI-033",1995,0.23
"BHI-034",1995,0.23
"BHI-035",1995,0.26
"BHI-036",1995,0.26
"BHI-037",1995,0.18
"BHI-038",1995,0.18
"BHI-039",1995,0.45
"BHI-040",1995,0.45
"BHI-041",1995,0.4
"BHI-042",1995,0.4
"BHI-043",1995,0.38
"BHI-001",1996,0.35
"BHI-002",1996,0.35
"BHI-003",1996,0.36
"BHI-005",1996,0.42
"BHI-006",1996,0.42
"BHI-007",1996,0.27
"BHI-008",1996,0.27
"BHI-009",1996,0.28
"BHI-010",1996,0.28
"BHI-011",1996,0.37
"BHI-012",1996,0.37
"BHI-013",1996,0.37
"BHI-014",1996,0.1
"BHI-015",1996,0.1
"BHI-016",1996,0.1
"BHI-017",1996,0.1
"BHI-018",1996,0.1
"BHI-019",1996,0.1
"BHI-020",1996,0.02
"BHI-021",1996,0.02
"BHI-022",1996,0.02
"BHI-023",1996,0.02
"BHI-024",1996,0.02
"BHI-025",1996,0.02
"BHI-026",1996,0.16
"BHI-027",1996,0.06
"BHI-028",1996,0.06
"BHI-029",1996,0.07
"BHI-030",1996,0.07
"BHI-031",1996,0.07
"BHI-032",1996,0.2
"BHI-033",1996,0.2
"BHI-034",1996,0.2
"BHI-035",1996,0.19
"BHI-036",1996,0.19
"BHI-037",1996,0.17
"BHI-038",1996,0.17
"BHI-039",1996,0.46
"BHI-040",1996,0.46
"BHI-041",1996,0.39
"BHI-042",1996,0.39
"BHI-043",1996,0.36
"BHI-001",1997,0.35
"BHI-002",1997,0.35
"BHI-003",1997,0.38
"BHI-005",1997,0.43
"BHI-006",1997,0.43
"BHI-007",1997,0.27
"BHI-008",1997,0.27
"BHI-009",1997,0.22
"BHI-010",1997,0.22
"BHI-011",1997,0.33
"BHI-012",1997,0.33
"BHI-013",1997,0.33
"BHI-014",1997,0.15
"BHI-015",1997,0.15
"BHI-016",1997,0.15
"BHI-017",1997,0.15
"BHI-018",1997,0.1
"BHI-019",1997,0.1
"BHI-020",1997,0.02
"BHI-021",1997,0.02
"BHI-022",1997,0.02
"BHI-023",1997,0.02
"BHI-024",1997,0.02
"BHI-025",1997,0.02
"BHI-026",1997,0.15
"BHI-027",1997,0.03
"BHI-028",1997,0.03
"BHI-029",1997,0.07
"BHI-030",1997,0.07
"BHI-031",1997,0.07
"BHI-032",1997,0.18
"BHI-033",1997,0.18
"BHI-034",1997,0.18
"BHI-035",1997,0.22
"BHI-036",1997,0.22
"BHI-037",1997,0.17
"BHI-038",1997,0.17
"BHI-039",1997,0.44
"BHI-040",1997,0.44
"BHI-041",1997,0.36
"BHI-042",1997,0.36
"BHI-043",1997,0.36
"BHI-001",1998,0.36
"BHI-002",1998,0.36
"BHI-003",1998,0.39
"BHI-005",1998,0.41
"BHI-006",1998,0.41
"BHI-007",1998,0.26
"BHI-008",1998,0.26
"BHI-009",1998,0.24
"BHI-010",1998,0.24
"BHI-011",1998,0.36
"BHI-012",1998,0.36
"BHI-013",1998,0.36
"BHI-014",1998,0.17
"BHI-015",1998,0.17
"BHI-016",1998,0.17
"BHI-017",1998,0.17
"BHI-018",1998,0.18
"BHI-019",1998,0.18
"BHI-020",1998,0.03
"BHI-021",1998,0.03
"BHI-022",1998,0.03
"BHI-023",1998,0.03
"BHI-024",1998,0.03
"BHI-025",1998,0.03
"BHI-026",1998,0.14
"BHI-027",1998,0
"BHI-028",1998,0
"BHI-029",1998,0.07
"BHI-030",1998,0.07
"BHI-031",1998,0.07
"BHI-032",1998,0.17
"BHI-033",1998,0.17
"BHI-034",1998,0.17
"BHI-035",1998,0.27
"BHI-036",1998,0.27
"BHI-037",1998,0.2
"BHI-038",1998,0.2
"BHI-039",1998,0.44
"BHI-040",1998,0.44
"BHI-041",1998,0.39
"BHI-042",1998,0.39
"BHI-043",1998,0.35
"BHI-001",1999,0.36
"BHI-002",1999,0.36
"BHI-003",1999,0.34
"BHI-005",1999,0.38
"BHI-006",1999,0.38
"BHI-007",1999,0.21
"BHI-008",1999,0.21
"BHI-009",1999,0.28
"BHI-010",1999,0.28
"BHI-011",1999,0.38
"BHI-012",1999,0.38
"BHI-013",1999,0.38
"BHI-014",1999,0.22
"BHI-015",1999,0.22
"BHI-016",1999,0.22
"BHI-017",1999,0.22
"BHI-018",1999,0.21
"BHI-019",1999,0.21
"BHI-020",1999,0.04
"BHI-021",1999,0.04
"BHI-022",1999,0.04
"BHI-023",1999,0.04
"BHI-024",1999,0.04
"BHI-025",1999,0.04
"BHI-026",1999,0.12
"BHI-027",1999,0
"BHI-028",1999,0
"BHI-029",1999,0.1
"BHI-030",1999,0.1
"BHI-031",1999,0.1
"BHI-032",1999,0.2
"BHI-033",1999,0.2
"BHI-034",1999,0.2
"BHI-035",1999,0.3
"BHI-036",1999,0.3
"BHI-037",1999,0.2
"BHI-038",1999,0.2
"BHI-039",1999,0.44
"BHI-040",1999,0.44
"BHI-041",1999,0.41
"BHI-042",1999,0.41
"BHI-043",1999,0.36
"BHI-001",2000,0.34
"BHI-002",2000,0.34
"BHI-003",2000,0.32
"BHI-005",2000,0.33
"BHI-006",2000,0.33
"BHI-007",2000,0.18
"BHI-008",2000,0.18
"BHI-009",2000,0.26
"BHI-010",2000,0.26
"BHI-011",2000,0.4
"BHI-012",2000,0.4
"BHI-013",2000,0.4
"BHI-014",2000,0.25
"BHI-015",2000,0.25
"BHI-016",2000,0.25
"BHI-017",2000,0.25
"BHI-018",2000,0.28
"BHI-019",2000,0.28
"BHI-020",2000,0.05
"BHI-021",2000,0.05
"BHI-022",2000,0.05
"BHI-023",2000,0.05
"BHI-024",2000,0.05
"BHI-025",2000,0.05
"BHI-026",2000,0.08
"BHI-027",2000,0
"BHI-028",2000,0
"BHI-029",2000,0.11
"BHI-030",2000,0.11
"BHI-031",2000,0.11
"BHI-032",2000,0.22
"BHI-033",2000,0.22
"BHI-034",2000,0.22
"BHI-035",2000,0.31
"BHI-036",2000,0.31
"BHI-037",2000,0.18
"BHI-038",2000,0.18
"BHI-039",2000,0.46
"BHI-040",2000,0.46
"BHI-041",2000,0.4
"BHI-042",2000,0.4
"BHI-043",2000,0.39
"BHI-001",2001,0.38
"BHI-002",2001,0.38
"BHI-003",2001,0.34
"BHI-005",2001,0.33
"BHI-006",2001,0.33
"BHI-007",2001,0.18
"BHI-008",2001,0.18
"BHI-009",2001,0.31
"BHI-010",2001,0.31
"BHI-011",2001,0.45
"BHI-012",2001,0.45
"BHI-013",2001,0.45
"BHI-014",2001,0.3
"BHI-015",2001,0.3
"BHI-016",2001,0.3
"BHI-017",2001,0.3
"BHI-018",2001,0.36
"BHI-019",2001,0.36
"BHI-020",2001,0.08
"BHI-021",2001,0.08
"BHI-022",2001,0.08
"BHI-023",2001,0.08
"BHI-024",2001,0.08
"BHI-025",2001,0.08
