region_id,year,pressure_score
BHI-038,1998,0.14
BHI-038,1999,0.24
BHI-038,2000,0.59
BHI-038,2001,0.54
BHI-038,2002,0.39
BHI-038,2003,0
BHI-038,2004,0
BHI-038,2005,0
BHI-038,2006,0.12
BHI-038,2007,0.12
BHI-038,2008,0.18
BHI-038,2009,0.03
BHI-038,2010,0.01
BHI-038,2011,0
BHI-038,2012,0.11
BHI-038,2013,0.05
BHI-038,2014,0
BHI-038,2015,0
BHI-038,2016,0
BHI-038,2017,0
BHI-037,1997,0.04
BHI-037,1998,0.14
BHI-037,1999,0.24
BHI-037,2000,0.59
BHI-037,2001,0.54
BHI-037,2002,0.39
BHI-037,2003,0
BHI-037,2004,0
BHI-037,2005,0
BHI-037,2006,0.12
BHI-037,2007,0.12
BHI-037,2008,0.18
BHI-037,2009,0.03
BHI-037,2010,0.01
BHI-037,2011,0
BHI-037,2012,0.11
BHI-037,2013,0.05
BHI-037,2014,0
BHI-037,2015,0
BHI-037,2016,0
BHI-037,2017,0
BHI-036,1997,0.04
BHI-036,1998,0.14
BHI-036,1999,0.24
BHI-036,2000,0.59
BHI-036,2001,0.54
BHI-036,2002,0.39
BHI-036,2003,0
BHI-036,2004,0
BHI-036,2005,0
BHI-036,2006,0.12
BHI-036,2007,0.12
BHI-036,2008,0.18
BHI-036,2009,0.03
BHI-036,2010,0.01
BHI-036,2011,0
BHI-036,2012,0.11
BHI-036,2013,0.05
BHI-036,2014,0
BHI-036,2015,0
BHI-036,2016,0
BHI-036,2017,0
BHI-035,1997,0.04
BHI-035,1998,0.14
BHI-035,1999,0.24
BHI-035,2000,0.59
BHI-035,2001,0.54
BHI-035,2002,0.39
BHI-035,2003,0
BHI-035,2004,0
BHI-035,2005,0
BHI-035,2006,0.12
BHI-035,2007,0.12
BHI-035,2008,0.18
BHI-035,2009,0.03
BHI-035,2010,0.01
BHI-035,2011,0
BHI-035,2012,0.11
BHI-035,2013,0.05
BHI-035,2014,0
BHI-035,2015,0
BHI-035,2016,0
BHI-035,2017,0
BHI-034,1997,0.29
BHI-034,1998,0.27
BHI-034,1999,0.4
BHI-034,2000,0.6
BHI-034,2001,0.62
BHI-034,2002,0.72
BHI-034,2003,0.85
BHI-034,2004,1
BHI-034,2005,0.92
BHI-034,2006,1
BHI-034,2007,0.87
BHI-034,2008,0.85
BHI-034,2009,0.64
BHI-034,2010,0.5
BHI-034,2011,0.61
BHI-034,2012,0.65
BHI-034,2013,0.66
BHI-034,2014,0.44
BHI-034,2015,0.15
BHI-034,2016,0.11
BHI-034,2017,0.22
BHI-033,1997,0.29
BHI-033,1998,0.27
BHI-033,1999,0.4
BHI-033,2000,0.6
BHI-033,2001,0.62
BHI-033,2002,0.72
BHI-033,2003,0.85
BHI-033,2004,1
BHI-033,2005,0.92
BHI-033,2006,1
BHI-033,2007,0.87
BHI-033,2008,0.85
BHI-033,2009,0.64
BHI-033,2010,0.5
BHI-033,2011,0.61
BHI-033,2012,0.65
BHI-033,2013,0.66
BHI-033,2014,0.44
BHI-033,2015,0.15
BHI-033,2016,0.11
BHI-033,2017,0.22
BHI-032,1997,0.29
BHI-032,1998,0.27
BHI-032,1999,0.4
BHI-032,2000,0.6
BHI-032,2001,0.62
BHI-032,2002,0.72
BHI-032,2003,0.85
BHI-032,2004,1
BHI-032,2005,0.92
BHI-032,2006,1
BHI-032,2007,0.87
BHI-032,2008,0.85
BHI-032,2009,0.64
BHI-032,2010,0.5
BHI-032,2011,0.61
BHI-032,2012,0.65
BHI-032,2013,0.66
BHI-032,2014,0.44
BHI-032,2015,0.15
BHI-032,2016,0.11
BHI-032,2017,0.22
BHI-031,1997,0.66
BHI-031,1998,0.75
BHI-031,1999,0.76
BHI-031,2000,0.75
BHI-031,2001,0.58
BHI-031,2002,0.54
BHI-031,2003,0.39
BHI-031,2004,0.32
BHI-031,2005,0.19
BHI-031,2006,0.27
BHI-031,2007,0.35
BHI-031,2008,0.35
BHI-031,2009,0.32
BHI-031,2010,0.41
BHI-031,2011,0.51
BHI-031,2012,0.49
BHI-031,2013,0.33
BHI-031,2014,0.16
BHI-031,2015,0.1
BHI-031,2016,0.03
BHI-031,2017,0.23
BHI-030,1997,0.66
BHI-030,1998,0.75
BHI-030,1999,0.76
BHI-030,2000,0.75
BHI-030,2001,0.58
BHI-030,2002,0.54
BHI-030,2003,0.39
BHI-030,2004,0.32
BHI-030,2005,0.19
BHI-030,2006,0.27
BHI-030,2007,0.35
BHI-030,2008,0.35
BHI-030,2009,0.32
BHI-030,2010,0.41
BHI-030,2011,0.51
BHI-030,2012,0.49
BHI-030,2013,0.33
BHI-030,2014,0.16
BHI-030,2015,0.1
BHI-030,2016,0.03
BHI-030,2017,0.23
BHI-029,1997,0.66
BHI-029,1998,0.75
BHI-029,1999,0.76
BHI-029,2000,0.75
BHI-029,2001,0.58
BHI-029,2002,0.54
BHI-029,2003,0.39
BHI-029,2004,0.32
BHI-029,2005,0.19
BHI-029,2006,0.27
BHI-029,2007,0.35
BHI-029,2008,0.35
BHI-029,2009,0.32
BHI-029,2010,0.41
BHI-029,2011,0.51
BHI-029,2012,0.49
BHI-029,2013,0.33
BHI-029,2014,0.16
BHI-029,2015,0.1
BHI-029,2016,0.03
BHI-029,2017,0.23
BHI-028,1997,0.03
BHI-028,1998,0.23
BHI-028,1999,0.64
BHI-028,2000,0.37
BHI-028,2001,0.18
BHI-028,2002,0
BHI-028,2003,0
BHI-028,2004,0
BHI-028,2005,0
BHI-028,2006,0
BHI-028,2007,0
BHI-028,2008,0.16
BHI-028,2009,0.33
BHI-028,2010,0.03
BHI-028,2011,0.1
BHI-028,2012,0.43
BHI-028,2013,0.22
BHI-028,2014,0
BHI-028,2015,0
BHI-028,2016,0
BHI-028,2017,0.05
BHI-027,1997,0.03
BHI-027,1998,0.23
BHI-027,1999,0.64
BHI-027,2000,0.37
BHI-027,2001,0.18
BHI-027,2002,0
BHI-027,2003,0
BHI-027,2004,0
BHI-027,2005,0
BHI-027,2006,0
BHI-027,2007,0
BHI-027,2008,0.16
BHI-027,2009,0.33
BHI-027,2010,0.03
BHI-027,2011,0.1
BHI-027,2012,0.43
BHI-027,2013,0.22
BHI-027,2014,0
BHI-027,2015,0
BHI-027,2016,0
BHI-027,2017,0.05
BHI-026,1997,0.66
BHI-026,1998,0.75
BHI-026,1999,0.76
BHI-026,2000,0.75
BHI-026,2001,0.58
BHI-026,2002,0.54
BHI-026,2003,0.39
BHI-026,2004,0.32
BHI-026,2005,0.19
BHI-026,2006,0.27
BHI-026,2007,0.35
BHI-026,2008,0.35
BHI-026,2009,0.32
BHI-026,2010,0.41
