bhi_id,year,pressure_score
BHI-036,1999,0.293719807
BHI-036,2000,0.329317633
BHI-036,2001,0.367980902
BHI-036,2002,0.332674944
BHI-036,2003,0.345881001
BHI-036,2004,0.330276207
BHI-036,2005,0.301812884
BHI-036,2006,0.309806792
BHI-036,2007,0.304042995
BHI-036,2008,0.305925505
BHI-036,2009,0.297138476
BHI-036,2010,0.299315923
BHI-036,2011,0.294591113
BHI-036,2012,0.309857686
BHI-036,2013,0.317691824
BHI-036,2014,0.327265629
BHI-036,2015,0.336045467
BHI-036,2016,0.347510846
BHI-036,2017,0.313772965
BHI-036,2018,0.294038666
BHI-036,2019,0.275963308
BHI-036,2020,0.256887221
BHI-035,1999,0.293719807
BHI-035,2000,0.329317633
BHI-035,2001,0.367980902
BHI-035,2002,0.332674944
BHI-035,2003,0.345881001
BHI-035,2004,0.330276207
BHI-035,2005,0.301812884
BHI-035,2006,0.309806792
BHI-035,2007,0.304042995
BHI-035,2008,0.305925505
BHI-035,2009,0.297138476
BHI-035,2010,0.299315923
BHI-035,2011,0.294591113
BHI-035,2012,0.309857686
BHI-035,2013,0.317691824
BHI-035,2014,0.327265629
BHI-035,2015,0.336045467
BHI-035,2016,0.347510846
BHI-035,2017,0.313772965
BHI-035,2018,0.294038666
BHI-035,2019,0.275963308
BHI-035,2020,0.256887221
BHI-034,2001,0.172947393
BHI-034,2002,0.209460571
BHI-034,2003,0.205063381
BHI-034,2004,0.188631563
BHI-034,2005,0.180714382
BHI-034,2006,0.1593523
BHI-034,2007,0.129737581
BHI-034,2008,0.122159856
BHI-034,2009,0.108642179
BHI-034,2010,0.090162634
BHI-034,2011,0.105568894
BHI-034,2012,0.114945518
BHI-034,2013,0.137176923
BHI-034,2014,0.16110369
BHI-034,2015,0.195682234
BHI-034,2016,0.191481716
BHI-034,2017,0.207758772
BHI-034,2018,0.226849681
BHI-034,2019,0.227417863
BHI-034,2020,0.225504443
BHI-033,2001,0.172947393
BHI-033,2002,0.209460571
BHI-033,2003,0.205063381
BHI-033,2004,0.188631563
BHI-033,2005,0.180714382
BHI-033,2006,0.1593523
BHI-033,2007,0.129737581
BHI-033,2008,0.122159856
BHI-033,2009,0.108642179
BHI-033,2010,0.090162634
BHI-033,2011,0.105568894
BHI-033,2012,0.114945518
BHI-033,2013,0.137176923
BHI-033,2014,0.16110369
BHI-033,2015,0.195682234
BHI-033,2016,0.191481716
BHI-033,2017,0.207758772
BHI-033,2018,0.226849681
BHI-033,2019,0.227417863
BHI-033,2020,0.225504443
BHI-032,2001,0.172947393
BHI-032,2002,0.209460571
BHI-032,2003,0.205063381
BHI-032,2004,0.188631563
BHI-032,2005,0.180714382
BHI-032,2006,0.1593523
BHI-032,2007,0.129737581
BHI-032,2008,0.122159856
BHI-032,2009,0.108642179
BHI-032,2010,0.090162634
BHI-032,2011,0.105568894
BHI-032,2012,0.114945518
BHI-032,2013,0.137176923
BHI-032,2014,0.16110369
BHI-032,2015,0.195682234
BHI-032,2016,0.191481716
BHI-032,2017,0.207758772
BHI-032,2018,0.226849681
BHI-032,2019,0.227417863
BHI-032,2020,0.225504443
BHI-031,1999,0.161382182
BHI-031,2000,0.152523474
BHI-031,2001,0.147652582
BHI-031,2002,0.175585606
BHI-031,2003,0.173573533
BHI-031,2004,0.15893949
BHI-031,2005,0.171455098
BHI-031,2006,0.203614722
BHI-031,2007,0.225379888
BHI-031,2008,0.224888048
BHI-031,2009,0.230719274
BHI-031,2010,0.229295216
BHI-031,2011,0.241700416
BHI-031,2012,0.268410678
BHI-031,2013,0.292041351
BHI-031,2014,0.268567172
BHI-031,2015,0.269369207
BHI-031,2016,0.272568746
BHI-031,2017,0.278632909
BHI-031,2019,0.269712721
BHI-031,2020,0.2867315
BHI-030,1999,0.161382182
BHI-030,2000,0.152523474
BHI-030,2001,0.147652582
BHI-030,2002,0.175585606
BHI-030,2003,0.173573533
BHI-030,2004,0.15893949
BHI-030,2005,0.171455098
BHI-030,2006,0.203614722
BHI-030,2007,0.225379888
BHI-030,2008,0.224888048
BHI-030,2009,0.230719274
BHI-030,2010,0.229295216
BHI-030,2011,0.241700416
BHI-030,2012,0.268410678
BHI-030,2013,0.292041351
BHI-030,2014,0.268567172
BHI-030,2015,0.269369207
BHI-030,2016,0.272568746
BHI-030,2017,0.278632909
BHI-030,2019,0.269712721
BHI-030,2020,0.2867315
BHI-029,1999,0.161382182
BHI-029,2000,0.152523474
BHI-029,2001,0.147652582
BHI-029,2002,0.175585606
BHI-029,2003,0.173573533
BHI-029,2004,0.15893949
BHI-029,2005,0.171455098
BHI-029,2006,0.203614722
BHI-029,2007,0.225379888
BHI-029,2008,0.224888048
BHI-029,2009,0.230719274
BHI-029,2010,0.229295216
BHI-029,2011,0.241700416
BHI-029,2012,0.268410678
BHI-029,2013,0.292041351
BHI-029,2014,0.268567172
BHI-029,2015,0.269369207
BHI-029,2016,0.272568746
BHI-029,2017,0.278632909
BHI-029,2019,0.269712721
BHI-029,2020,0.2867315
BHI-028,1999,0.300814286
BHI-028,2000,0.300844048
BHI-028,2001,0.292865693
BHI-028,2002,0.30994982
BHI-028,2003,0.282937121
