"region_id","year","surf_sal_pressure"
"BHI-010",1997,0.11
"BHI-011",1997,0.07
"BHI-012",1997,0.07
"BHI-013",1997,0.07
"BHI-014",1997,0.22
"BHI-015",1997,0.22
"BHI-016",1997,0.22
"BHI-017",1997,0.22
"BHI-018",1997,0.52
"BHI-019",1997,0.52
"BHI-020",1997,0.36
"BHI-021",1997,0.36
"BHI-022",1997,0.36
"BHI-023",1997,0.36
"BHI-024",1997,0.36
"BHI-025",1997,0.36
"BHI-026",1997,0.49
"BHI-027",1997,0.09
"BHI-028",1997,0.09
"BHI-029",1997,0.54
"BHI-030",1997,0.54
"BHI-031",1997,0.54
"BHI-032",1997,0.68
"BHI-033",1997,0.68
"BHI-034",1997,0.68
"BHI-035",1997,0.23
"BHI-036",1997,0.23
"BHI-037",1997,0.34
"BHI-038",1997,0.34
"BHI-039",1997,1
"BHI-040",1997,1
"BHI-041",1997,0.46
"BHI-042",1997,0.46
"BHI-043",1997,0.35
"BHI-001",1998,0.52
"BHI-002",1998,0.52
"BHI-003",1998,0.23
"BHI-005",1998,0.37
"BHI-006",1998,0.37
"BHI-007",1998,0.08
"BHI-008",1998,0.08
"BHI-009",1998,0.15
"BHI-010",1998,0.15
"BHI-011",1998,0.15
"BHI-012",1998,0.15
"BHI-013",1998,0.15
"BHI-014",1998,0.28
"BHI-015",1998,0.28
"BHI-016",1998,0.28
"BHI-017",1998,0.28
"BHI-018",1998,0.54
"BHI-019",1998,0.54
"BHI-020",1998,0.32
"BHI-021",1998,0.32
"BHI-022",1998,0.32
"BHI-023",1998,0.32
"BHI-024",1998,0.32
"BHI-025",1998,0.32
"BHI-026",1998,0.4
"BHI-027",1998,0.11
"BHI-028",1998,0.11
"BHI-029",1998,0.45
"BHI-030",1998,0.45
"BHI-031",1998,0.45
"BHI-032",1998,0.65
"BHI-033",1998,0.65
"BHI-034",1998,0.65
"BHI-035",1998,0.23
"BHI-036",1998,0.23
"BHI-037",1998,0.34
"BHI-038",1998,0.34
"BHI-039",1998,1
"BHI-040",1998,1
"BHI-041",1998,0.47
"BHI-042",1998,0.47
"BHI-043",1998,0.33
"BHI-001",1999,0.55
"BHI-002",1999,0.55
"BHI-003",1999,0.22
"BHI-005",1999,0.36
"BHI-006",1999,0.36
"BHI-007",1999,0.08
"BHI-008",1999,0.08
"BHI-009",1999,0.13
"BHI-010",1999,0.13
"BHI-011",1999,0.14
"BHI-012",1999,0.14
"BHI-013",1999,0.14
"BHI-014",1999,0.35
"BHI-015",1999,0.35
"BHI-016",1999,0.35
"BHI-017",1999,0.35
"BHI-018",1999,0.59
"BHI-019",1999,0.59
"BHI-020",1999,0.32
"BHI-021",1999,0.32
"BHI-022",1999,0.32
"BHI-023",1999,0.32
"BHI-024",1999,0.32
"BHI-025",1999,0.32
"BHI-026",1999,0.35
"BHI-027",1999,0.17
"BHI-028",1999,0.17
"BHI-029",1999,0.38
"BHI-030",1999,0.38
