region_id,month,year,secchi_depth
BHI-003,8,1995,5.5
BHI-003,8,1995,5.5
BHI-003,8,1995,5.6
BHI-003,8,1995,5.5
BHI-003,8,1995,5.5
BHI-003,8,1995,5.5
BHI-003,8,1995,6.5
BHI-006,8,1995,4.5
BHI-006,8,1995,6
BHI-014,8,1995,5
BHI-014,8,1995,5
BHI-007,8,1995,5.5
BHI-007,8,1995,5
BHI-007,8,1995,5
BHI-007,8,1995,6
BHI-007,8,1995,5.1
BHI-007,8,1995,5.5
BHI-020,8,1995,5
BHI-020,8,1995,5
BHI-029,8,1995,5
BHI-029,8,1995,5
BHI-041,8,1995,6.3
BHI-017,8,1995,6
BHI-017,8,1995,6
BHI-003,8,1995,5.5
BHI-003,8,1995,6
BHI-017,8,1995,6
BHI-017,8,1995,6
BHI-003,8,1995,5.5
BHI-003,8,1995,8.5
BHI-003,8,1995,8.5
