region_id,year,employ_pop
BHI-015,2016,72.12
BHI-002,2016,72.12
BHI-003,2016,72.12
BHI-006,2016,72.12
BHI-007,2016,72.12
BHI-009,2016,72.12
BHI-012,2016,72.12
BHI-025,2016,72.1
BHI-034,2016,72.1
BHI-028,2016,72.1
BHI-031,2016,72.1
BHI-042,2016,71.26
BHI-038,2016,71.26
BHI-040,2016,71.26
BHI-036,2016,71.26
BHI-043,2016,71.26
BHI-032,2016,71.26
BHI-023,2016,70.95
BHI-027,2016,68.7
BHI-024,2016,68.7
BHI-017,2016,64.12352941176471
BHI-018,2016,64.12352941176471
BHI-021,2016,64.12352941176471
BHI-011,2016,75.9875
BHI-041,2016,75.9875
BHI-037,2016,75.9875
BHI-001,2016,75.9875
BHI-029,2016,75.9875
BHI-039,2016,75.9875
BHI-035,2016,75.9875
BHI-014,2016,75.9875
BHI-005,2016,75.9875
BHI-026,2016,75.9875
BHI-020,2016,75.9875
BHI-013,2017,75.50526315789473
BHI-008,2017,75.50526315789473
BHI-010,2017,75.50526315789473
BHI-016,2017,75.50526315789473
BHI-015,2017,72.8
BHI-002,2017,72.8
BHI-003,2017,72.8
BHI-006,2017,72.8
BHI-007,2017,72.8
BHI-009,2017,72.8
BHI-012,2017,72.8
BHI-025,2017,74.1
BHI-034,2017,74.1
BHI-028,2017,74.1
BHI-031,2017,74.1
BHI-042,2017,72.22
BHI-038,2017,72.22
BHI-040,2017,72.22
BHI-036,2017,72.22
BHI-043,2017,72.22
BHI-032,2017,72.22
BHI-023,2017,72.15
BHI-027,2017,70.1
BHI-024,2017,70.1
BHI-017,2017,65.74117647058823
BHI-018,2017,65.74117647058823
BHI-021,2017,65.74117647058823
BHI-011,2017,76.6875
BHI-041,2017,76.6875
BHI-037,2017,76.6875
BHI-001,2017,76.6875
BHI-029,2017,76.6875
BHI-039,2017,76.6875
BHI-035,2017,76.6875
BHI-014,2017,76.6875
BHI-005,2017,76.6875
BHI-026,2017,76.6875
BHI-020,2017,76.6875
BHI-013,2018,76.16842105263157
BHI-008,2018,76.16842105263157
BHI-010,2018,76.16842105263157
BHI-016,2018,76.16842105263157
BHI-015,2018,73.62
BHI-002,2018,73.62
BHI-003,2018,73.62
BHI-006,2018,73.62
BHI-007,2018,73.62
BHI-009,2018,73.62
BHI-012,2018,73.62
BHI-025,2018,74.8
BHI-034,2018,74.8
BHI-028,2018,74.8
BHI-031,2018,74.8
BHI-042,2018,73.74
BHI-038,2018,73.74
BHI-040,2018,73.74
BHI-036,2018,73.74
BHI-043,2018,73.74
