region_id,year,oxydebt_pressure
BHI-030,2010,0.220483468
BHI-030,2011,0.295084344
BHI-030,2012,0.149064516
BHI-030,2013,0.275774805
BHI-030,2014,0.298118913
BHI-030,2015,0.243889017
BHI-030,2016,0.231622508
BHI-030,2017,0.269650286
BHI-030,2018,0.326124465
BHI-030,2019,0.282751224
BHI-029,2000,0.076021832
BHI-029,2001,0.259621772
BHI-029,2002,0.191887592
BHI-029,2003,0.293063364
BHI-029,2004,0.265269045
BHI-029,2005,0.180106948
BHI-029,2006,0.241682133
BHI-029,2007,0.256989732
BHI-029,2008,0.218299507
BHI-029,2009,0.260757677
BHI-029,2010,0.220483468
BHI-029,2011,0.295084344
BHI-029,2012,0.149064516
BHI-029,2013,0.275774805
BHI-029,2014,0.298118913
BHI-029,2015,0.243889017
BHI-029,2016,0.231622508
BHI-029,2017,0.269650286
BHI-029,2018,0.326124465
BHI-029,2019,0.282751224
BHI-028,2000,NA
BHI-028,2001,NA
BHI-028,2002,NA
BHI-028,2003,NA
BHI-028,2004,NA
BHI-028,2005,NA
BHI-028,2006,NA
BHI-028,2007,NA
BHI-028,2008,NA
BHI-028,2009,NA
BHI-028,2010,NA
BHI-028,2011,NA
BHI-028,2012,NA
BHI-028,2013,NA
BHI-028,2014,NA
BHI-028,2015,NA
BHI-028,2016,NA
BHI-028,2017,NA
BHI-028,2018,NA
BHI-028,2019,NA
BHI-027,2000,NA
BHI-027,2001,NA
BHI-027,2002,NA
BHI-027,2003,NA
BHI-027,2004,NA
BHI-027,2005,NA
BHI-027,2006,NA
BHI-027,2007,NA
BHI-027,2008,NA
BHI-027,2009,NA
BHI-027,2010,NA
BHI-027,2011,NA
BHI-027,2012,NA
BHI-027,2013,NA
BHI-027,2014,NA
BHI-027,2015,NA
BHI-027,2016,NA
BHI-027,2017,NA
BHI-027,2018,NA
BHI-027,2019,NA
BHI-026,2000,0.076021832
BHI-026,2001,0.259621772
BHI-026,2002,0.191887592
BHI-026,2003,0.293063364
BHI-026,2004,0.265269045
BHI-026,2005,0.180106948
BHI-026,2006,0.241682133
BHI-026,2007,0.256989732
BHI-026,2008,0.218299507
BHI-026,2009,0.260757677
BHI-026,2010,0.220483468
BHI-026,2011,0.295084344
BHI-026,2012,0.149064516
BHI-026,2013,0.275774805
