helcom_id,area_km2
POL-009,8.921692669261411
POL-010,70.2570557632206
POL-011,41.396721510229426
POL-012,0.12193775063060223
POL-013,153.7180654896984
POL-014,38.81739312747335
POL-015,46.07615684292507
POL-016,141.1909865444428
POL-017,17.460744477403523
POL-018,58.812251553225515
POL-019,98.67391163297367
RUS-001,3848.187037192388
RUS-002,1376.7620034748236
RUS-003,620.3990418203325
SEA-001,15234.27425356006
SEA-002,2066.6862495425203
SEA-003,181.48400627706616
SEA-004,2716.061814231476
SEA-005,3477.154489753071
SEA-006,13451.134145355963
SEA-007,38851.763467656965
SEA-008,3650.8407296744526
SEA-009,70789.33826478456
SEA-010,26032.520033291094
SEA-011,8674.23194940458
SEA-012,27499.73761440865
SEA-013,16612.309023280166
SEA-014,1894.854030568083
SEA-015,49577.248682658785
