region_id,latitude,longitude,year,value,matrix
17,54.91666666999999,16.666666669999998,2004,12.06125,bio
41,65.5825,22.8791,2004,2.21604,bio
14,55.9491,15.780999999999999,2004,3.388,bio
29,58.693600000000004,18.0043,2004,6.0846225,bio
37,60.5326,18.162399999999998,2005,14.846087,bio
14,55.9491,15.780999999999999,2005,5.5894379999999995,bio
32,60.383333330000006,26.71666667,2005,8.783333333333333,bio
30,59.466666669999995,22.25,2005,8.433333333333334,bio
13,54.76766667,13.94166667,2005,5.815222222222222,bio
38,61.866666669999994,20.75,2005,8.158333333333333,bio
17,54.91666666999999,16.666666669999998,2005,0.32575,bio
21,54.91666666999999,18.666666669999998,2005,2.19275,bio
42,65.14999999999999,25.166666669999998,2005,6.2,bio
41,65.5825,22.8791,2005,3.00866,bio
29,58.693600000000004,18.0043,2005,4.863884,bio
14,55.9491,15.780999999999999,2005,5.199945,bio
37,60.5326,18.162399999999998,2006,6.590756,bio
14,55.9491,15.780999999999999,2006,4.308565,bio
42,64.13333332999999,23.25,2006,2.164041666666667,bio
13,54.69133333000001,13.81733333,2006,11.104583333333334,bio
32,60.349999999999994,26.75,2006,2.38,bio
38,61.616666669999994,20.81666667,2006,6.269166666666667,bio
21,54.91666666999999,18.666666669999998,2006,4.93461,bio
30,59.58333333000001,22.3,2006,2.1875,bio
17,54.91666666999999,16.666666669999998,2006,4.9639999999999995,bio
41,65.5825,22.8791,2006,5.0879199999999996,bio
36,59.949999999999996,20.11666667,2006,2.7070833333333333,bio
29,58.693600000000004,18.0043,2006,6.250415833333333,bio
37,60.5326,18.162399999999998,2007,16.15934,bio
37,62.8645,18.2412,2007,8.18415,bio
42,64.13333332999999,23.25,2007,2.2416666666666667,bio
35,59.565200000000004,18.834800000000005,2007,21.829499999999996,bio
13,54.74216667,13.922833330000001,2007,4.5074,bio
36,59.972666669999995,20.086166669999997,2007,3.3,bio
38,61.66666667,20.666666669999998,2007,2.272727272727273,bio
36,59.93333333000001,22.21666667,2007,2.466666666666667,bio
32,60.518666669999995,27.13833333,2007,4.208333333333334,bio
17,54.91666666999999,16.666666669999998,2007,1.35775,bio
21,54.91666666999999,18.666666669999998,2007,1.6161,bio
37,60.5326,18.162399999999998,2007,7.61445,bio
26,57.3167,17.5,2007,9.39745,bio
14,55.7507,14.283299999999999,2007,12.4942,bio
29,58.693600000000004,18.0043,2007,16.4509,bio
14,55.9491,15.780999999999999,2008,5.356882500000001,bio
42,64.17916667,23.3265,2008,1.5358333333333334,bio
35,59.565200000000004,18.834800000000005,2008,8.5211,bio
38,61.71083333000001,20.7075,2008,3.3966666666666665,bio
36,59.879833330000004,19.958,2008,3.2725,bio
17,54.91666666999999,16.666666669999998,2008,7.88225,bio
21,54.91666666999999,18.666666669999998,2008,4.8637500000000005,bio
14,55.7507,14.283299999999999,2008,4.76121,bio
30,59.5475,22.605333329999997,2008,2.865,bio
11,55.079666669999995,13.25016667,2008,1.9964,bio
11,55.085666669999995,13.826166670000001,2008,1.9233333333333333,bio
29,58.693600000000004,18.0043,2008,6.150218571428572,bio
14,55.9491,15.780999999999999,2008,4.769263333333334,bio
14,55.9491,15.780999999999999,2009,4.99456,bio
37,60.5326,18.162399999999998,2009,25.125065,bio
42,64.17916667,23.3265,2009,1.2925,bio
37,62.8645,18.2412,2009,13.320449999999997,bio
35,59.565200000000004,18.834800000000005,2009,17.39394,bio
21,54.91666666999999,18.666666669999998,2009,3.947,bio
17,55.00733333000001,17.433333329999996,2009,3.633923076923077,bio
17,54.91666666999999,16.666666669999998,2009,4.2725,bio
38,61.71083333000001,20.7075,2009,2.13875,bio
30,59.5475,22.605333329999997,2009,2.205,bio
41,65.5825,22.8791,2009,4.0001549999999995,bio
