region_id,latitude,longitude,year,value,matrix
26,57.3167,17.5,2013,0.816080405,bio
11,55.3163,13.610999999999999,2013,0.7762463260000001,bio
14,55.9491,15.780999999999999,2013,0.5008466200000001,bio
37,60.5326,18.162399999999998,2014,2.610866882,bio
38,61.710950000000004,20.70753,2014,0.24575675000000005,bio
14,55.9491,15.780999999999999,2014,0.7337278560499999,bio
42,64.17916999999998,23.326539999999998,2014,0.36757033333333333,bio
37,61.4554,17.1622,2014,0.48021927299999995,bio
35,59.565200000000004,18.834800000000005,2014,0.51055116635,bio
1,57.224700000000006,11.828,2014,0.25386633304285716,bio
39,63.6808,20.876800000000003,2014,0.3859117336,bio
37,60.5326,18.162399999999998,2014,0.41976513874285715,bio
38,61.25,19.5,2014,0.82858353315,bio
41,65.5825,22.8791,2014,0.6149928535500001,bio
